-----------------------------------------------------------------------------------------------------------
+--------------------+--------+------+----------+-----------+--------------+-------------+----------+
|                 key|accuracy|    id|       lat|        lng|         speed|         time|     types|
+--------------------+--------+------+----------+-----------+--------------+-------------+----------+
|20200401_00001121...|  40.437|962656|37.2683103|126.9721151|           0.0|1585685873658|     START|
|20200401_00001121...|  31.399|962657|37.2680475|126.9724107|   0.034780525|1585685879492|    NORMAL|
|20200401_00001121...|  31.699|962658|37.2676462|126.9718389|       9.60389|1585685882632|    NORMAL|
|20200401_00001121...|    20.0|962659|37.2673338|126.9714895|     11.169648|1585685884697|    NORMAL|
|20200401_00001121...|    21.6|962660|37.2671359|126.9715031|     12.015842|1585685886715|    NORMAL|
|20200401_00001121...|    15.0|962661|37.2670183|126.9716049|    11.7575655|1585685888639|    NORMAL|
|20200401_00001121...|    13.0|962662|37.2668237|126.9716683|     12.834247|1585685890382|    NORMAL|
|20200401_00001121...|   6.333|962663|37.2665857| 126.971736|     13.568604|1585685892284|    NORMAL|
|20200401_00001121...|     4.8|962664|37.2663383|126.9717912|     13.909816|1585685894288|    NORMAL|
|20200401_00001121...|     4.0|962665|37.2660775|126.9718453|     14.099718|1585685896289|    NORMAL|
|20200401_00001121...|     4.0|962666|37.2658178|126.9718977|     14.123846|1585685898332|    NORMAL|
|20200401_00001121...|     4.0|962667|37.2655668|126.9719524|     14.005691|1585685900299|    NORMAL|
|20200401_00001121...|     4.0|962668|37.2653237|126.9720052|     13.473603|1585685902301|    NORMAL|
|20200401_00001121...|     4.0|962669|37.2650755|126.9720528|     12.658037|1585685904333|    NORMAL|
|20200401_00001121...|     4.0|962670|37.2648714|126.9720876|      12.30875|1585685906317|    NORMAL|
|20200401_00001121...|     4.0|962671|37.2646647|126.9721297|     11.963929|1585685908314|    NORMAL|
|20200401_00001121...|     4.0|962672|37.2644627|126.9721693|     11.723361|1585685910314|    NORMAL|
|20200401_00001121...|     4.0|962673|37.2642686|126.9722102|     11.242071|1585685912313|    NORMAL|
|20200401_00001121...|     4.0|962674|37.2640778| 126.972252|     11.061991|1585685914306|    NORMAL|
|20200401_00001121...|   3.983|962675|37.2638897|126.9722917|     10.806646|1585685916303|    NORMAL|
|20200401_00001121...|     3.8|962676|37.2636996|126.9723337|     11.313701|1585685918300|    NORMAL|
|20200401_00001121...|    3.54|962677|37.2634849|126.9723779|     12.149366|1585685920363|    NORMAL|
|20200401_00001121...|    3.45|962678|37.2632645|126.9724269|      12.75783|1585685922300|    NORMAL|
|20200401_00001121...|    3.54|962679|37.2630289|126.9724814|     13.406711|1585685924307|    NORMAL|
|20200401_00001121...|    3.54|962680|37.2627885|126.9725344|     13.483081|1585685926310|    NORMAL|
|20200401_00001121...|    3.45|962681|37.2625504|126.9725895|     13.563021|1585685928301|    NORMAL|
|20200401_00001121...|    3.54|962682|37.2623104|126.9726434|     13.492891|1585685930314|    NORMAL|
|20200401_00001121...|    3.45|962683|37.2620722|126.9726979|     13.569105|1585685932300|    NORMAL|
|20200401_00001121...|    3.45|962684|37.2618365|126.9727574|      13.49108|1585685934298|    NORMAL|
